
2024/10/09 (10:22:18) | ===> btop++ v.1.4.0
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/10/09 (10:22:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
